iter	Logloss
0	0.6834001541
1	0.6707252026
2	0.6600170135
3	0.6492937088
4	0.640549612
5	0.6329368591
6	0.6248662472
7	0.6172271729
8	0.6096850395
9	0.6022183418
10	0.5957650185
11	0.5900381088
12	0.5836922169
13	0.5777197838
14	0.5707627296
15	0.565977478
16	0.5588998795
17	0.5545075893
18	0.5502317905
19	0.5451146126
20	0.5424860954
21	0.5379779339
22	0.5340466499
23	0.5291701317
24	0.5250128269
25	0.5225203514
26	0.5195365906
27	0.5141011238
28	0.5108643532
29	0.5070161819
30	0.5045577049
31	0.5011828423
32	0.4961576462
33	0.4923974037
34	0.4884212971
35	0.4846047401
36	0.481632328
37	0.4787359238
38	0.4761617661
39	0.4731217384
40	0.4697948933
41	0.4679769516
42	0.4657456875
43	0.4638319969
44	0.4606699944
45	0.4582044125
46	0.4554400921
47	0.4526491642
48	0.4505419731
49	0.4476721764
50	0.4451698303
51	0.442841053
52	0.440686512
53	0.4385272026
54	0.4357440948
55	0.4334932327
56	0.4307712555
57	0.4279355049
58	0.4263350487
59	0.4239208221
60	0.4220047951
61	0.4202949047
62	0.4188017845
63	0.4173090935
64	0.4161916256
65	0.4145580292
66	0.4130328178
67	0.4111856461
68	0.4098501205
69	0.4078063011
70	0.4061147213
71	0.4042299747
72	0.4024116993
73	0.4012444496
74	0.3993297577
75	0.397876215
76	0.3962021112
77	0.3946371078
78	0.3936694145
79	0.3922049522
80	0.391244936
81	0.3903081417
82	0.3879918575
83	0.3859670162
84	0.3849355221
85	0.3839083195
86	0.3815725327
87	0.3808013439
88	0.379648447
89	0.3789317846
90	0.3772150278
91	0.3751732826
92	0.3737029314
93	0.3727800131
94	0.370732069
95	0.3697656155
96	0.3683200359
97	0.3668313742
98	0.3656187534
99	0.3639631987
100	0.3626054287
101	0.3617698431
102	0.3603739738
103	0.3596619129
104	0.3585873604
105	0.357820797
106	0.3565816641
107	0.3548513412
108	0.3538978815
109	0.353071928
110	0.3518366337
111	0.3505787373
112	0.3501200914
113	0.3491728783
114	0.3483490467
115	0.3473575115
116	0.3462975502
117	0.3443275928
118	0.3437749863
119	0.342944932
120	0.3423419714
121	0.3418889284
122	0.3412877083
123	0.3399204731
124	0.3388803959
125	0.3380015612
126	0.3369818211
127	0.3356971741
128	0.3345096588
129	0.3335989475
130	0.3323469639
131	0.3309752941
132	0.3298135996
133	0.328983736
134	0.3278693676
135	0.3273503065
136	0.3261006117
137	0.3253871202
138	0.3239145756
139	0.3233743668
140	0.3223255396
141	0.3216056824
142	0.3206513882
143	0.3199957132
144	0.3197203159
145	0.3183734894
146	0.317351985
147	0.3164096832
148	0.3154826403
149	0.3149988174
150	0.3141226053
151	0.3133852482
152	0.3130430698
153	0.3122105837
154	0.3115171432
155	0.3109653711
156	0.3104703426
157	0.3096301556
158	0.3090653181
159	0.3077711821
160	0.3068205833
161	0.3058145523
162	0.304799366
163	0.3041189909
164	0.3030198812
165	0.3022548676
166	0.301682806
167	0.3012081146
168	0.3007025003
169	0.3001165867
170	0.2994219542
171	0.2987896442
172	0.2980370998
173	0.296929884
174	0.2958870888
175	0.2953366756
176	0.2949858189
177	0.2943649769
178	0.2938420296
179	0.2931856155
180	0.2925071001
181	0.2920662165
182	0.2913239002
183	0.2905880451
184	0.2889167309
185	0.2884442568
186	0.2879423618
187	0.2872648716
188	0.2860651016
189	0.2847577333
190	0.2837091923
191	0.2824056149
192	0.2820936441
193	0.281347847
194	0.2804231644
195	0.2796659708
196	0.278996563
197	0.2783123016
198	0.2779816389
199	0.2768442869
200	0.2766001225
201	0.2763077736
202	0.2758378744
203	0.2746357918
204	0.2733429909
205	0.2729170799
206	0.2722792625
207	0.2716130733
208	0.2710014582
209	0.2704428434
210	0.2698365688
211	0.2689577579
212	0.2684057951
213	0.2677605152
214	0.266567421
215	0.2658033371
216	0.2649687529
217	0.2635136604
218	0.2623352528
219	0.2617257357
220	0.2612158298
221	0.2608170033
222	0.2595928669
223	0.2590666294
224	0.2582830429
225	0.2578012228
226	0.2573939323
227	0.2563065052
228	0.2557563066
229	0.2547169924
230	0.253981185
231	0.2536347866
232	0.2527318001
233	0.2518493891
234	0.2510356903
235	0.2504849195
236	0.24956429
237	0.2491069794
238	0.2481880903
239	0.2473775864
240	0.246028471
241	0.2455028057
242	0.2443484545
243	0.2435075283
244	0.2423642159
245	0.2419085979
246	0.2409416676
247	0.2402607203
248	0.2395112276
249	0.2387571335
250	0.238173151
251	0.2369882107
252	0.2362970352
253	0.2351885319
254	0.2341192007
255	0.2334548712
256	0.2327938557
257	0.2321102142
258	0.2311285257
259	0.2305899143
260	0.2300078392
261	0.2293991089
262	0.2289827824
263	0.228265214
264	0.2275829792
265	0.2270297289
266	0.2266786575
267	0.2261283398
268	0.2252760887
269	0.2241510391
270	0.2232255459
271	0.2219800711
272	0.2214100838
273	0.2208440781
274	0.2200494051
275	0.2191645384
276	0.2187581539
277	0.2183138371
278	0.2177183151
279	0.2171554089
280	0.2166295052
281	0.215797472
282	0.2152077675
283	0.2144643307
284	0.2137072086
285	0.2131659269
286	0.2122724533
287	0.2115557671
288	0.2105201244
289	0.2099787235
290	0.209094429
291	0.208149147
292	0.2079416752
293	0.2068780899
294	0.2056719303
295	0.2050817013
296	0.20469203
297	0.2037602425
298	0.2025139332
299	0.2015862942
