iter	Passed	Remaining
0	3	1051
1	7	1138
2	11	1185
3	16	1250
4	21	1246
5	25	1231
6	29	1236
7	33	1239
8	38	1232
9	42	1233
10	47	1250
11	52	1250
12	56	1251
13	61	1259
14	66	1256
15	70	1255
16	75	1257
17	80	1254
18	85	1265
19	89	1258
20	93	1235
21	97	1230
22	102	1239
23	107	1235
24	111	1231
25	116	1228
26	120	1219
27	124	1213
28	129	1207
29	134	1209
30	139	1208
31	143	1205
32	149	1207
33	154	1206
34	159	1203
35	163	1199
36	175	1250
37	180	1241
38	184	1232
39	188	1225
40	194	1225
41	198	1219
42	203	1214
43	207	1206
44	211	1200
45	216	1193
46	221	1194
47	226	1188
48	231	1183
49	235	1178
50	240	1171
51	244	1165
52	248	1159
53	253	1156
54	258	1153
55	263	1148
56	268	1145
57	273	1141
58	278	1135
59	283	1135
60	287	1127
61	292	1121
62	296	1115
63	300	1109
64	305	1104
65	309	1097
66	313	1091
67	318	1086
68	322	1080
69	327	1074
70	331	1068
71	335	1061
72	339	1055
73	343	1049
74	347	1042
75	359	1058
76	363	1052
77	367	1046
78	372	1042
79	376	1036
80	381	1030
81	385	1024
82	389	1018
83	393	1012
84	398	1007
85	402	1002
86	406	996
87	411	990
88	415	985
89	420	981
90	425	978
91	430	973
92	436	972
93	442	968
94	446	963
95	451	959
96	456	954
97	460	948
98	465	944
99	469	938
100	473	932
101	477	927
102	482	922
103	486	917
104	491	913
105	496	908
106	500	903
107	505	898
108	510	893
109	514	889
110	520	885
111	524	881
112	529	875
113	533	870
114	538	865
115	542	860
116	546	855
117	551	850
118	555	844
119	559	839
120	563	833
121	567	828
122	571	822
123	575	817
124	580	812
125	584	807
126	588	802
127	592	796
128	597	791
129	601	786
130	605	781
131	610	776
132	614	771
133	618	766
134	622	761
135	626	756
136	631	751
137	635	746
138	640	741
139	644	737
140	649	732
141	653	727
142	658	722
143	662	717
144	667	713
145	684	722
146	689	717
147	693	712
148	697	707
149	703	703
150	708	698
151	712	694
152	716	688
153	721	683
154	725	678
155	731	674
156	736	670
157	740	665
158	745	661
159	749	656
160	754	651
161	758	646
162	763	641
163	768	636
164	772	631
165	777	627
166	781	622
167	785	617
168	790	612
169	794	607
170	798	602
171	802	597
172	807	592
173	812	588
174	816	583
175	820	578
176	825	573
177	829	568
178	834	564
179	854	569
180	858	564
181	863	559
182	867	554
183	871	549
184	875	544
185	880	539
186	886	535
187	893	532
188	901	529
189	906	524
190	911	520
191	916	515
192	920	510
193	926	506
194	931	501
195	935	496
196	940	491
197	945	486
198	949	481
199	953	476
200	958	471
201	960	466
202	964	461
203	969	456
204	974	451
205	978	446
206	982	441
207	987	436
208	991	431
209	996	426
210	1000	422
211	1005	417
212	1009	412
213	1014	407
214	1018	402
215	1023	397
216	1027	393
217	1033	388
218	1037	383
219	1042	379
220	1047	374
221	1052	369
222	1057	365
223	1063	360
224	1067	355
225	1071	350
226	1075	345
227	1079	341
228	1084	336
229	1088	331
230	1093	326
231	1098	322
232	1103	317
233	1108	312
234	1113	307
235	1117	303
236	1124	298
237	1129	294
238	1134	289
239	1139	284
240	1144	280
241	1149	275
242	1156	271
243	1160	266
244	1165	261
245	1186	260
246	1191	255
247	1195	250
248	1200	245
249	1204	240
250	1209	236
251	1213	231
252	1218	226
253	1222	221
254	1227	216
255	1232	211
256	1236	206
257	1240	202
258	1245	197
259	1250	192
260	1254	187
261	1259	182
262	1264	177
263	1268	173
264	1273	168
265	1278	163
266	1282	158
267	1286	153
268	1291	148
269	1296	144
270	1300	139
271	1304	134
272	1309	129
273	1313	124
274	1317	119
275	1322	114
276	1326	110
277	1330	105
278	1335	100
279	1340	95
280	1344	90
281	1349	86
282	1353	81
283	1357	76
284	1361	71
285	1367	66
286	1371	62
287	1375	57
288	1380	52
289	1384	47
290	1389	42
291	1393	38
292	1398	33
293	1403	28
294	1407	23
295	1412	19
296	1416	14
297	1420	9
298	1425	4
299	1430	0
