iter	Passed	Remaining
0	4	1221
1	8	1305
2	12	1245
3	15	1168
4	19	1145
5	23	1143
6	28	1186
7	33	1209
8	37	1197
9	41	1209
10	46	1216
11	50	1220
12	55	1214
13	60	1240
14	65	1247
15	69	1237
16	73	1227
17	78	1223
18	82	1221
19	86	1214
20	91	1213
21	95	1210
22	99	1201
23	103	1189
24	108	1191
25	113	1193
26	117	1193
27	122	1187
28	126	1182
29	130	1173
30	134	1163
31	138	1160
32	145	1177
33	150	1180
34	155	1178
35	160	1178
36	166	1180
37	170	1178
38	175	1173
39	180	1176
40	186	1176
41	192	1183
42	196	1176
43	201	1172
44	206	1168
45	211	1166
46	217	1171
47	222	1170
48	227	1164
49	233	1166
50	242	1185
51	251	1199
52	258	1206
53	264	1202
54	268	1196
55	274	1197
56	279	1192
57	284	1186
58	293	1197
59	298	1192
60	305	1195
61	313	1205
62	322	1215
63	327	1209
64	332	1201
65	338	1200
66	345	1200
67	350	1196
68	361	1208
69	367	1206
70	374	1209
71	379	1202
72	386	1201
73	391	1195
74	396	1188
75	401	1182
76	406	1176
77	411	1172
78	420	1175
79	430	1184
80	437	1182
81	442	1176
82	446	1166
83	451	1161
84	456	1155
85	461	1147
86	465	1138
87	468	1129
88	474	1124
89	478	1115
90	482	1108
91	489	1107
92	496	1104
93	501	1098
94	512	1105
95	524	1115
96	534	1119
97	544	1122
98	554	1125
99	563	1127
100	567	1118
101	572	1110
102	576	1103
103	588	1109
104	595	1106
105	601	1100
106	605	1092
107	610	1085
108	614	1076
109	618	1068
110	622	1059
111	626	1051
112	630	1043
113	634	1035
114	639	1028
115	643	1020
116	647	1012
117	651	1004
118	655	997
119	659	989
120	664	982
121	668	975
122	673	968
123	677	962
124	682	955
125	686	948
126	692	943
127	697	936
128	702	931
129	707	925
130	711	918
131	718	914
132	725	910
133	733	908
134	739	904
135	746	900
136	754	897
137	760	892
138	764	885
139	769	879
140	774	873
141	784	873
142	793	870
143	800	867
144	810	866
145	820	865
146	826	859
147	830	852
148	837	848
149	844	844
150	851	840
151	856	834
152	863	829
153	869	824
154	877	820
155	884	816
156	889	810
157	894	804
158	900	798
159	907	794
160	915	790
161	921	785
162	926	779
163	935	775
164	950	777
165	957	773
166	962	766
167	967	759
168	972	753
169	974	745
170	979	739
171	984	732
172	988	725
173	992	718
174	996	711
175	1000	705
176	1004	697
177	1008	691
178	1012	684
179	1015	677
180	1019	670
181	1023	663
182	1027	656
183	1031	650
184	1034	643
185	1038	636
186	1042	630
187	1047	623
188	1050	617
189	1054	610
190	1058	604
191	1062	597
192	1065	590
193	1070	584
194	1073	578
195	1077	571
196	1081	565
197	1084	558
198	1088	552
199	1092	546
200	1096	540
201	1100	533
202	1105	528
203	1108	521
204	1112	515
205	1116	509
206	1120	503
207	1123	497
208	1127	491
209	1131	484
210	1135	478
211	1140	473
212	1144	467
213	1148	461
214	1152	455
215	1156	449
216	1160	443
217	1164	437
218	1167	431
219	1171	425
220	1174	419
221	1178	414
222	1182	408
223	1186	402
224	1190	396
225	1193	390
226	1198	385
227	1201	379
228	1205	373
229	1209	368
230	1214	362
231	1218	357
232	1221	351
233	1225	345
234	1228	339
235	1234	334
236	1237	329
237	1241	323
238	1245	317
239	1249	312
240	1252	306
241	1256	301
242	1259	295
243	1263	290
244	1267	284
245	1271	279
246	1274	273
247	1278	268
248	1282	262
249	1286	257
250	1290	251
251	1294	246
252	1298	241
253	1301	235
254	1305	230
255	1308	224
256	1312	219
257	1315	214
258	1319	208
259	1323	203
260	1326	198
261	1330	192
262	1333	187
263	1337	182
264	1340	177
265	1344	171
266	1348	166
267	1351	161
268	1355	156
269	1359	151
270	1362	145
271	1366	140
272	1369	135
273	1373	130
274	1377	125
275	1380	120
276	1383	114
277	1387	109
278	1391	104
279	1394	99
280	1397	94
281	1401	89
282	1404	84
283	1408	79
284	1411	74
285	1415	69
286	1418	64
287	1423	59
288	1426	54
289	1429	49
290	1433	44
291	1436	39
292	1440	34
293	1443	29
294	1446	24
295	1450	19
296	1454	14
297	1457	9
298	1461	4
299	1464	0
