target,arm,model,n_features,cv_accuracy_mean,cv_f1_macro_mean,holdout_accuracy,holdout_f1_macro,holdout_roc_auc
EPDS Result,A_Raw_only,Logistic Regression,108,0.57,0.548339107471058,0.49375,0.47083859020560465,0.7156939081939082
EPDS Result,A_Raw_only,Random Forest,108,0.615,0.5712254470044743,0.60625,0.5408597653820584,0.7672989691372045
EPDS Result,A_Raw_only,XGBoost,108,0.5862499999999999,0.5491079521875928,0.53125,0.48665062255666286,0.7298066501375325
EPDS Result,A_Raw_only,LightGBM,108,0.57625,0.5385672270304862,0.56875,0.5146649229064514,0.7332181656446363
EPDS Result,A_Raw_only,CatBoost,108,0.6012500000000001,0.5529817155839731,0.55625,0.4991287484893623,0.7510105010472657
EPDS Result,B_Raw_plus_Composite,Logistic Regression,112,0.57,0.5479975962944563,0.49375,0.47083859020560465,0.7160559877103996
EPDS Result,B_Raw_plus_Composite,Random Forest,112,0.61375,0.5784786441060312,0.5875,0.5398786398786398,0.755369381987029
EPDS Result,B_Raw_plus_Composite,XGBoost,112,0.59375,0.5563673067961403,0.5625,0.5107942166765697,0.7347852316602317
EPDS Result,B_Raw_plus_Composite,LightGBM,112,0.58375,0.5396697911783102,0.58125,0.534312643901685,0.7487196072122544
EPDS Result,B_Raw_plus_Composite,CatBoost,112,0.5912499999999999,0.5485673974865584,0.5625,0.5042370820269106,0.740471805839453
EPDS Result,C_Selected_plus_Composite,Logistic Regression,30,0.5987500000000001,0.5732114341172003,0.525,0.48782719530604685,0.7506642251495192
EPDS Result,C_Selected_plus_Composite,Random Forest,30,0.6125,0.5789041143031518,0.58125,0.5150917274425172,0.7395596121331416
EPDS Result,C_Selected_plus_Composite,XGBoost,30,0.5962500000000001,0.5575439208129928,0.55,0.4915447632970393,0.7355945598960305
EPDS Result,C_Selected_plus_Composite,LightGBM,30,0.585,0.5399084488241064,0.5375,0.48259230142364934,0.7202281430590254
EPDS Result,C_Selected_plus_Composite,CatBoost,30,0.5975000000000001,0.554611396045663,0.54375,0.4913013075741481,0.7257394894894895
