target,arm,model,n_features,cv_accuracy_mean,cv_f1_macro_mean,holdout_accuracy,holdout_f1_macro,holdout_roc_auc
PHQ9 Result,A_Raw_only,Logistic Regression,108,0.34875,0.3461516132106401,0.35625,0.35140007555930686,0.654106092468294
PHQ9 Result,A_Raw_only,Random Forest,108,0.37250000000000005,0.3574527459675408,0.33125,0.3125,0.6776039315579524
PHQ9 Result,A_Raw_only,XGBoost,108,0.3625,0.32470956716018573,0.35,0.3070399540489495,0.6638504238993227
PHQ9 Result,A_Raw_only,LightGBM,108,0.36124999999999996,0.32708386643706444,0.34375,0.27161728198880586,0.6658428729451702
PHQ9 Result,A_Raw_only,CatBoost,108,0.3975,0.3390217630619666,0.3625,0.2947221113477085,0.6801786909791235
PHQ9 Result,B_Raw_plus_Composite,Logistic Regression,112,0.34875,0.3443380669328119,0.3625,0.3600567174760724,0.6546791168038228
PHQ9 Result,B_Raw_plus_Composite,Random Forest,112,0.38500000000000006,0.36479862573974264,0.34375,0.32935279683527546,0.6914634571743161
PHQ9 Result,B_Raw_plus_Composite,XGBoost,112,0.385,0.3429739606286032,0.36875,0.3350806919772437,0.6717081442049107
PHQ9 Result,B_Raw_plus_Composite,LightGBM,112,0.4,0.3566179897741186,0.43125,0.41346717537377636,0.7025115506927062
PHQ9 Result,B_Raw_plus_Composite,CatBoost,112,0.39625000000000005,0.3494344752411189,0.38125,0.3250846546382358,0.6937495092209771
PHQ9 Result,C_Selected_plus_Composite,Logistic Regression,30,0.34500000000000003,0.3384550951676763,0.28125,0.2812763337429084,0.6853796212790526
PHQ9 Result,C_Selected_plus_Composite,Random Forest,30,0.34750000000000003,0.33019628457895117,0.38125,0.36302469460364195,0.7114604886865207
PHQ9 Result,C_Selected_plus_Composite,XGBoost,30,0.39625,0.35068211630527346,0.39375,0.35916020284740946,0.6734359894880018
PHQ9 Result,C_Selected_plus_Composite,LightGBM,30,0.4025,0.36084932638924744,0.3875,0.3495968309683233,0.6931493532718257
PHQ9 Result,C_Selected_plus_Composite,CatBoost,30,0.40750000000000003,0.34901798443899795,0.39375,0.33990669679274493,0.7240771884588362
