target,arm,model,n_features,cv_accuracy_mean,cv_f1_macro_mean,holdout_accuracy,holdout_f1_macro,holdout_roc_auc
PPD_binary,A_Raw_only,Logistic Regression,108,0.72875,0.7255582019028863,0.7375,0.7341351479664504,0.8022222222222223
PPD_binary,A_Raw_only,Random Forest,108,0.7612500000000001,0.7562816595871605,0.7625,0.756058417589472,0.8194444444444444
PPD_binary,A_Raw_only,XGBoost,108,0.7362499999999998,0.7314990385168496,0.7375,0.7279352226720648,0.8233333333333334
PPD_binary,A_Raw_only,LightGBM,108,0.74125,0.736447161714414,0.7375,0.7314578005115089,0.8101587301587302
PPD_binary,A_Raw_only,CatBoost,108,0.7575,0.7519309979162008,0.74375,0.7350458419160709,0.8096825396825397
PPD_binary,B_Raw_plus_Composite,Logistic Regression,112,0.73,0.726739059899993,0.7375,0.7341351479664504,0.8023809523809524
PPD_binary,B_Raw_plus_Composite,Random Forest,112,0.7587499999999999,0.7527180507753481,0.76875,0.7619717743556753,0.8286507936507936
PPD_binary,B_Raw_plus_Composite,XGBoost,112,0.7325000000000002,0.7272693213687752,0.7375,0.7279352226720648,0.8215873015873015
PPD_binary,B_Raw_plus_Composite,LightGBM,112,0.7449999999999999,0.7398530156575689,0.75625,0.7467429684646292,0.8088888888888889
PPD_binary,B_Raw_plus_Composite,CatBoost,112,0.7637500000000002,0.7577749195104222,0.75,0.7421018697614443,0.8114285714285714
PPD_binary,C_Selected_plus_Composite,Logistic Regression,30,0.7537499999999999,0.7512566562946796,0.75,0.745182353878006,0.8117460317460318
PPD_binary,C_Selected_plus_Composite,Random Forest,30,0.75,0.7457775833593968,0.76875,0.7646965300687627,0.8206349206349206
PPD_binary,C_Selected_plus_Composite,XGBoost,30,0.75,0.7442367542532589,0.75625,0.7479704349933357,0.8042857142857143
PPD_binary,C_Selected_plus_Composite,LightGBM,30,0.7424999999999999,0.7368367624616452,0.74375,0.7337554283858922,0.8044444444444445
PPD_binary,C_Selected_plus_Composite,CatBoost,30,0.75375,0.747871865147302,0.76875,0.7629629629629631,0.8160317460317461
