target,model,comparison,mean_diff_f1_macro,fold_scores_new,fold_scores_old,paired_ttest_stat,paired_ttest_pvalue,wilcoxon_stat,wilcoxon_pvalue,significant_at_0.05_ttest
EPDS Result,Logistic Regression,B_vs_A (composite effect),-0.000341511176601661,"[0.5371, 0.5047, 0.5577, 0.5582, 0.5823]","[0.5434, 0.5053, 0.5525, 0.5582, 0.5823]",-0.18689444686619588,0.8608399202148601,2.0,0.75,False
EPDS Result,Random Forest,B_vs_A (composite effect),0.007253197101556852,"[0.5739, 0.5315, 0.5975, 0.6333, 0.5562]","[0.5624, 0.5384, 0.5699, 0.6484, 0.537]",0.9079578904554767,0.41525555000909287,4.0,0.4375,False
EPDS Result,XGBoost,B_vs_A (composite effect),0.007259354608547408,"[0.5732, 0.5366, 0.5584, 0.6045, 0.5091]","[0.5405, 0.5421, 0.5868, 0.5374, 0.5387]",0.38755583234066765,0.7180838096242415,6.0,0.8125,False
EPDS Result,LightGBM,B_vs_A (composite effect),0.0011025641478238923,"[0.546, 0.5392, 0.5478, 0.5616, 0.5038]","[0.5388, 0.5216, 0.5893, 0.4963, 0.5469]",0.05443624217583283,0.9591980036462769,7.0,1.0,False
EPDS Result,CatBoost,B_vs_A (composite effect),-0.004414318097414704,"[0.5189, 0.549, 0.5687, 0.5663, 0.54]","[0.5533, 0.5229, 0.581, 0.5558, 0.5519]",-0.42321961325781104,0.6938984037279226,5.0,0.625,False
EPDS Result,Logistic Regression,C_vs_B (feature-selection effect),0.02521383782274398,"[0.5803, 0.5264, 0.599, 0.6029, 0.5574]","[0.5371, 0.5047, 0.5577, 0.5582, 0.5823]",1.9103157392456465,0.12869908122714976,2.0,0.1875,False
EPDS Result,Random Forest,C_vs_B (feature-selection effect),0.0004254701971206698,"[0.5891, 0.5458, 0.5763, 0.6213, 0.5619]","[0.5739, 0.5315, 0.5975, 0.6333, 0.5562]",0.05849956187933993,0.9561565813169237,7.0,1.0,False
EPDS Result,XGBoost,C_vs_B (feature-selection effect),0.0011766140168524952,"[0.5783, 0.5837, 0.5502, 0.5427, 0.5328]","[0.5732, 0.5366, 0.5584, 0.6045, 0.5091]",0.06435537027451922,0.9517750731743162,7.0,1.0,False
EPDS Result,LightGBM,C_vs_B (feature-selection effect),0.00023865764579611426,"[0.5682, 0.5853, 0.5265, 0.5113, 0.5082]","[0.546, 0.5392, 0.5478, 0.5616, 0.5038]",0.014233439316532077,0.9893253710454828,7.0,1.0,False
EPDS Result,CatBoost,C_vs_B (feature-selection effect),0.006043998559104624,"[0.5722, 0.6113, 0.5251, 0.5656, 0.4988]","[0.5189, 0.549, 0.5687, 0.5663, 0.54]",0.26838424046807985,0.8016763728002814,6.0,0.8125,False
