column,dtype,role,n_unique,missing_count,missing_pct,sample_values
Age,int64,SAFE_INPUT,25,0,0.0,24 | 31 | 32 | 27 | 29 | 30
Residence,str,SAFE_INPUT,2,0,0.0,City | Village
Education Level,str,SAFE_INPUT,6,6,0.75,University | College | Primary School | High School | High school | Primary school
Marital status,str,SAFE_INPUT,2,0,0.0,Married | Divorced
Occupation before latest pregnancy,str,SAFE_INPUT,8,0,0.0,Student | Doctor | Service | Housewife | Teacher | Other
Monthly income before latest pregnancy,str,SAFE_INPUT,5,437,54.62,10000 to 20000 | More than 30000 | Less than 5000 | 5000 to 10000 | 20000 to 30000
Occupation After Your Latest Childbirth,str,SAFE_INPUT,8,0,0.0,Student | Doctor | Service | Housewife | Teacher | Business
Current monthly income,str,SAFE_INPUT,5,525,65.62,10000 to 20000 | More than 30000 | Less than 5000 | 5000 to 10000 | 20000 to 30000
Husband's education level,str,SAFE_INPUT,6,9,1.12,University | College | Primary School | High School | High school | Primary school
Husband's monthly income,str,SAFE_INPUT,5,28,3.5,More than 30000 | 10000 to 20000 | 5000 to 10000 | 20000 to 30000 | Less than 5000
Addiction,str,SAFE_INPUT,3,789,98.62,Smoking | Drinking | Drugs
Total children,str,SAFE_INPUT,4,0,0.0,One | Two | More than two | More than Two
Disease before pregnancy,str,SAFE_INPUT,3,588,73.5,Non-Chronic Disease | Chronic Disease | 1.2
History of pregnancy loss,str,SAFE_INPUT,3,613,76.62,Miscarriage | Still-born Delivery | Still-born delivery
Family type,str,SAFE_INPUT,2,0,0.0,Nuclear | Joint
Number of household members,str,SAFE_INPUT,3,0,0.0,6 to 8 | 2 to 5 | 9 or more
Relationship with the in-laws,str,SAFE_INPUT,5,0,0.0,Neutral | Good | Bad | Friendly | Poor
Relationship with husband,str,SAFE_INPUT,5,0,0.0,Good | Neutral | Bad | Friendly | Poor
Relationship with the newborn,str,SAFE_INPUT,4,0,0.0,Good | Neutral | Bad | Very good
Relationship between father and newborn,str,SAFE_INPUT,4,0,0.0,Good | Neutral | Bad | Very good
Feeling about motherhood,str,SAFE_INPUT,3,0,0.0,Neutral | Happy | Sad
Received Support,str,SAFE_INPUT,3,0,0.0,High | Medium | Low
Need for Support,str,SAFE_INPUT,3,167,20.88,Medium | Low | High
Major changes or losses during pregnancy,str,SAFE_INPUT,2,0,0.0,Yes | No
Abuse,str,SAFE_INPUT,2,38,4.75,Yes | No
Trust and share feelings,str,SAFE_INPUT,2,1,0.12,Yes | No
Number of the latest pregnancy,int64,SAFE_INPUT,7,0,0.0,1 | 2 | 3 | 4 | 5 | 7
