target,composite_index,anova_F,anova_p,kruskal_H,kruskal_p,significant_at_0.05
EPDS Result,Economic_Stability_Index,9.91987970383601,5.5539106093954034e-05,19.35816521550693,6.257888683498774e-05,True
EPDS Result,Social_Support_Index,59.98305310124923,5.411999418388701e-25,89.32038232701171,4.020919856076029e-20,True
EPDS Result,Maternal_MentalHealth_Risk_Index,73.60236576837129,4.648056210617008e-30,127.24027695663273,2.3449032088833877e-28,True
EPDS Result,Neonatal_Delivery_Stress_Index,9.931926228096497,5.4890134188283835e-05,20.96077279922637,2.8081869605990608e-05,True
EPDS Result,Economic_Stability_Index_Weighted,18.200864810265386,1.8649349767560457e-08,32.24528551289201,9.954632169448166e-08,True
EPDS Result,Social_Support_Index_Weighted,88.91294236048127,1.392228853605082e-35,131.36311776995458,2.9844301134486995e-29,True
EPDS Result,Maternal_MentalHealth_Risk_Index_Weighted,88.93782487811994,1.364192908449164e-35,152.54291376830244,7.511508248577927e-34,True
EPDS Result,Neonatal_Delivery_Stress_Index_Weighted,14.229245303086351,8.473997476295309e-07,26.588865346995597,1.68384165864508e-06,True
PHQ9 Result,Economic_Stability_Index,7.5643703576367685,5.546525234730113e-06,25.27812110776964,4.422931390487163e-05,True
PHQ9 Result,Social_Support_Index,30.012586135202707,2.799336124590562e-23,87.671251555738,4.111997571985572e-18,True
PHQ9 Result,Maternal_MentalHealth_Risk_Index,38.04870538651878,3.7441270621736223e-29,124.91294138295919,4.764039278324405e-26,True
PHQ9 Result,Neonatal_Delivery_Stress_Index,6.294320745795246,5.473371588184591e-05,25.99049632835684,3.1784547656688824e-05,True
PHQ9 Result,Economic_Stability_Index_Weighted,9.349121842821738,2.1885876845585203e-07,32.76440410946233,1.3347650923020974e-06,True
PHQ9 Result,Social_Support_Index_Weighted,46.76289267646421,2.5551378260438604e-35,130.74396295941332,2.6995660365682072e-27,True
PHQ9 Result,Maternal_MentalHealth_Risk_Index_Weighted,45.612554075543954,1.619990498196566e-34,152.80374467865167,5.103168427985711e-32,True
PHQ9 Result,Neonatal_Delivery_Stress_Index_Weighted,8.554605785943437,9.239697451632839e-07,32.81073898065156,1.3059357291400027e-06,True
PPD_binary,Economic_Stability_Index,17.35132579822482,3.445658850360945e-05,17.275132430427465,3.233915260406297e-05,True
PPD_binary,Social_Support_Index,115.86363475722288,2.5297899834567685e-25,86.21269995419698,1.615866127963129e-20,True
PPD_binary,Maternal_MentalHealth_Risk_Index,123.04690175997028,1.0844083813555524e-26,106.79974724570644,4.925032784538704e-25,True
PPD_binary,Neonatal_Delivery_Stress_Index,19.512768730566314,1.1371501268975841e-05,20.477447983772077,6.0338009226122594e-06,True
PPD_binary,Economic_Stability_Index_Weighted,36.421747088812104,2.431835605652571e-09,31.829791115982367,1.6829157168827174e-08,True
PPD_binary,Social_Support_Index_Weighted,171.61839406157137,1.1742176729016627e-35,126.50409875153242,2.3850859919673215e-29,True
PPD_binary,Maternal_MentalHealth_Risk_Index_Weighted,161.8340099758327,6.880576874370614e-34,134.55228004794463,4.136836300968958e-31,True
PPD_binary,Neonatal_Delivery_Stress_Index_Weighted,26.95240598823819,2.648117635692288e-07,25.46214255075137,4.511491963320709e-07,True
