feature,mean_FP,mean_TN,mean_diff,mannwhitney_pvalue,significant_at_0.05
Maternal_MentalHealth_Risk_Index_Weighted,6.318559787882351,1.5892692508672606,4.729290537015091,7.192437209353579e-07,True
Economic_Stability_Index_Weighted,1.5636909166252837,2.770500130077849,-1.2068092134525654,0.27676817513155993,False
Social_Support_Index_Weighted,5.77873078055774,6.949878301912675,-1.1711475213549356,0.015430308065478944,True
Abuse_Yes,0.13333333333333333,0.8133333333333334,-0.68,,False
Angry after latest child birth_Yes,1.0,0.38666666666666666,0.6133333333333333,,False
Age,28.066666666666666,28.346666666666668,-0.28000000000000114,0.7324506264580448,False
Need for Support_Not Reported,0.13333333333333333,0.41333333333333333,-0.28,,False
Received Support_Medium,0.6,0.32,0.27999999999999997,,False
Neonatal_Delivery_Stress_Index_Weighted,4.593054303859292,4.418978009294169,0.17407629456512286,0.6490343586178937,False
Number of the latest pregnancy,1.6,1.72,-0.11999999999999988,0.91817832008547,False
