target,config,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro,mean_qwk,std_qwk
EPDS Result,baseline,0.61375,0.03316624790355399,0.5784786441060312,0.034902444429545675,0.5546421229746027,0.07007587507486168
EPDS Result,plus_interactions,0.6087499999999999,0.04081206929328629,0.5726408846982485,0.043512784076683644,0.551405100049541,0.06490760022998522
EPDS Result,plus_cluster,0.6174999999999999,0.029947871376777374,0.5831075860266309,0.02957854693983617,0.5497762095333545,0.054499849175705765
EPDS Result,plus_both,0.615,0.03720719016534302,0.5813172406223661,0.03511892397818223,0.5669481761763805,0.05564718094360306
PPD_binary,baseline,0.7587499999999999,0.02579970930068785,0.7527180507753481,0.02720720092620011,,
PPD_binary,plus_interactions,0.76,0.02893959225697555,0.75574550770287,0.029788620307336727,,
PPD_binary,plus_cluster,0.7562500000000001,0.026220221204253803,0.7507839559747901,0.02638101128438354,,
PPD_binary,plus_both,0.765,0.03657184709581948,0.7596526824947667,0.03817215101268247,,
PHQ9 Result,baseline,0.39125,0.026398390102428598,0.3522814356748351,0.04383553525201718,0.5541909173976618,0.050591583056559974
PHQ9 Result,plus_interactions,0.38,0.036529097990506146,0.33396467337822533,0.03991059576969742,0.5462873397672208,0.04728061925410476
PHQ9 Result,plus_cluster,0.385,0.025799709300687878,0.3526516924799262,0.04177948982557208,0.5495314984079197,0.04909219333822018
PHQ9 Result,plus_both,0.37500000000000006,0.030103986446980747,0.33365453704445247,0.03229499988558898,0.5425524998511174,0.03933787067304564
