group,n_columns_in_group,mean_importance_drop,std_importance_drop
Feeling for regular activities,3,0.03759508709525714,0.01838407558798746
Abuse,2,0.03102769923050681,0.013402259760580904
Neonatal_Delivery_Stress_Index_Weighted,1,0.026946592440896023,0.013175838707961612
Received Support,2,0.026301247381948716,0.013782849603249023
Angry after latest child birth,1,0.024662429299275854,0.016719510333726508
Fear of pregnancy,1,0.024025857123339232,0.014678820253552018
Need for Support,3,0.021158536792492466,0.016836365288243133
Age,1,0.02072507683639899,0.015010087546210546
Husband's monthly income,5,0.01782961481783387,0.014500019434217097
Economic_Stability_Index_Weighted,1,0.016096217755206598,0.009722983797905885
Relationship with husband,4,0.01371402168531526,0.010018018650216435
Social_Support_Index_Weighted,1,0.013552687780775438,0.016557220082630674
Total children,2,0.013365991737392797,0.012141996244103686
Age of newborn,3,0.01156959913169206,0.010769237120570726
Relationship with the newborn,3,0.011114110087689467,0.006297833423811261
Current monthly income,5,0.0100555563904683,0.00816012917766556
Pregnancy length,5,0.009878424041842243,0.010294816398235396
Number of household members,2,0.009758891579139634,0.010839205655547964
Mode of delivery,1,0.009300538708974442,0.006655458545346932
Number of the latest pregnancy,1,0.008932498829813295,0.009743097449979568
Pregnancy plan,1,0.008860779211424858,0.0051714670157683405
Breastfeed,1,0.00843198133639107,0.005897240346614424
Regular checkups,1,0.008406154700999096,0.004287021865399758
Husband's education level,4,0.006883807995896257,0.007640776563802661
Disease before pregnancy,2,0.005886068637440856,0.008648803592494356
Occupation before latest pregnancy,6,0.005225399491662841,0.011523615843318681
Age of immediate older children,4,0.005170977308791569,0.009828094861102674
Birth complications,1,0.005164245380511051,0.003850435546322274
Gender of newborn,1,0.004832207147907286,0.010115164188706295
Trust and share feelings,2,0.004635217366712652,0.012439601722603824
Major changes or losses during pregnancy,1,0.0037602987105942232,0.004719512015923055
Education Level,4,0.003758641303802668,0.005480961240607332
Newborn illness,1,0.003552012163445728,0.0058153974501909365
Residence,1,0.003534329406932407,0.005936911814740637
Occupation After Your Latest Childbirth,6,0.0032173577270694087,0.005558625528014251
Maternal_MentalHealth_Risk_Index_Weighted,1,0.002509121245681556,0.024425902457585778
Feeling about motherhood,2,0.0018616703342219376,0.004912301464723952
Relationship between father and newborn,3,0.0017209687123556972,0.007133494163855434
Relax/sleep when newborn is tended,1,0.0017044424657725599,0.005277236383661156
History of pregnancy loss,2,0.0014411202224194398,0.0030340338768679556
Diseases during pregnancy,2,0.0009226209560324883,0.011446218686831105
Worry about newborn,1,0.00017721706765477796,0.008880514180970116
Marital status,1,0.0,0.0
Addiction,3,0.0,0.0
Depression before pregnancy (PHQ2),1,-0.0004450284723443443,0.00420379369071323
Depression during pregnancy (PHQ2),1,-0.0021878993501377453,0.008610551879086792
Relax/sleep when the newborn is asleep,1,-0.003270176606383879,0.008407905686580381
Monthly income before latest pregnancy,5,-0.005083565504578313,0.009293438689351624
Relationship with the in-laws,4,-0.0075509603340922936,0.006025567091621551
Family type,1,-0.011185432164825537,0.01075567187371623
