group,n_columns_in_group,mean_importance_drop,std_importance_drop
Social_Support_Index_Weighted,1,0.02494537218486832,0.025898590700825886
Age of immediate older children,4,0.018042309682818974,0.01397044570102408
Disease before pregnancy,2,0.016775386495984673,0.006233208194630373
Gender of newborn,1,0.014320546096895426,0.008676564382779396
Relationship with the in-laws,4,0.013629960078155002,0.012304042315493894
Pregnancy plan,1,0.012524736543158308,0.008875553558464871
Husband's education level,4,0.010776479597056557,0.009537822786638221
Economic_Stability_Index_Weighted,1,0.008065017268525935,0.01155213731751772
Number of the latest pregnancy,1,0.007947379093017817,0.009869032458685565
Diseases during pregnancy,2,0.00662912546101832,0.011890953577898235
Feeling about motherhood,2,0.006623400641360128,0.010231449435455687
Breastfeed,1,0.00597078068430309,0.0059812838576349114
Relax/sleep when newborn is tended,1,0.005528387708605942,0.0077196581670428525
Relationship with husband,4,0.005135770411766332,0.01022692342509053
Depression during pregnancy (PHQ2),1,0.004895491270804919,0.013796944610745616
Depression before pregnancy (PHQ2),1,0.004265351077296175,0.004956678850692503
Fear of pregnancy,1,0.0034487937028616854,0.009549908866052887
Trust and share feelings,2,0.002019154262540665,0.009434538191819887
Relationship with the newborn,3,0.0012833499507525687,0.004666604065552115
Total children,2,0.0008564439766674592,0.0064180698678327
Newborn illness,1,0.0008192462506709658,0.0043921981251322795
Major changes or losses during pregnancy,1,0.0005894639926074779,0.009468183605604997
Relationship between father and newborn,3,0.00040560371474062106,0.007115251132352754
Marital status,1,-4.732888943415337e-05,0.00020630184615348443
Addiction,3,-0.0010968992261502163,0.002305462547322313
Feeling for regular activities,3,-0.0019028515409431734,0.016943663771311485
Angry after latest child birth,1,-0.002081834859483991,0.01892391332012884
Family type,1,-0.0027548143668060963,0.004710702355624282
Occupation After Your Latest Childbirth,6,-0.003065976311593205,0.009615607573693022
Occupation before latest pregnancy,6,-0.0034036249390968472,0.009164355133498715
Worry about newborn,1,-0.003531503025579014,0.008382607312229185
Birth complications,1,-0.003591514958877759,0.009151155224075093
Age,1,-0.0036520842906824754,0.012029889072073616
Education Level,4,-0.004257094956022459,0.008607678620191399
Mode of delivery,1,-0.004262458030025259,0.010885208966009377
Relax/sleep when the newborn is asleep,1,-0.0045634955794822355,0.009617050383566129
Residence,1,-0.0054622206391003155,0.005790603640541065
Monthly income before latest pregnancy,5,-0.005463345209495663,0.010264312199708171
Age of newborn,3,-0.005664708506859137,0.007259593714013873
Regular checkups,1,-0.0059481076896757,0.004579635992409108
Neonatal_Delivery_Stress_Index_Weighted,1,-0.0059549435632528765,0.013184956606507404
Pregnancy length,5,-0.006628592535774922,0.0072932687816144775
Need for Support,3,-0.00712646271684893,0.016200909050759698
Abuse,2,-0.00825465751646543,0.014267858222697832
Received Support,2,-0.008528432304778677,0.011150863893061021
Number of household members,2,-0.009108220393449653,0.007098741109454501
Current monthly income,5,-0.009575980588581483,0.012646574886244582
History of pregnancy loss,2,-0.010312693395346049,0.005961680501921583
Husband's monthly income,5,-0.01076699580411089,0.007853445068554154
Maternal_MentalHealth_Risk_Index_Weighted,1,-0.011702932703990563,0.022139960503427824
