group,n_columns_in_group,mean_importance_drop,std_importance_drop
Angry after latest child birth,1,0.05257745505302367,0.019172001902646448
Major changes or losses during pregnancy,1,0.015441323434987598,0.007261492675422458
Relax/sleep when the newborn is asleep,1,0.0117131009974334,0.00895175948313019
Feeling for regular activities,3,0.011292575129601528,0.010056618947835131
Social_Support_Index_Weighted,1,0.0076836508070559474,0.010858194966236428
Maternal_MentalHealth_Risk_Index_Weighted,1,0.0047750696238596565,0.018446488887563003
Husband's education level,4,0.004080303664001745,0.004495141413511742
Economic_Stability_Index_Weighted,1,0.0035576640617046074,0.006083509093370356
Age of immediate older children,4,0.0030871360174612506,0.0045509687200193235
Pregnancy plan,1,0.0026610105447914868,0.0029418578467508573
Need for Support,3,0.0013325906039208467,0.006687752612850521
Relationship with husband,4,0.0011938624004317112,0.005815254668765301
Abuse,2,0.0010951872177170918,0.009304331198766943
Pregnancy length,5,0.0010536483416436425,0.00454749914402589
Education Level,4,0.0007024322277624284,0.0037460918960845646
Disease before pregnancy,2,4.932419532099885e-06,0.003108300399725523
Addiction,3,0.0,0.0
Birth complications,1,0.0,0.0
History of pregnancy loss,2,0.0,0.0
Regular checkups,1,0.0,0.0
Marital status,1,0.0,0.0
Depression before pregnancy (PHQ2),1,-0.00015184756811684741,0.0035237557195472004
Occupation After Your Latest Childbirth,6,-0.0003462836943491143,0.001509415629463716
Feeling about motherhood,2,-0.0003524366608521623,0.004922060055068801
Breastfeed,1,-0.0006925673886982286,0.002077702166094686
Received Support,2,-0.0007937991007761269,0.0035298234473997306
Relationship with the in-laws,4,-0.0008373208873064031,0.007397566236353858
Relationship with the newborn,3,-0.0008433585311405145,0.003525285763299093
Number of household members,2,-0.0013851347773964572,0.002770269554792914
Depression during pregnancy (PHQ2),1,-0.001531609630530728,0.005993571088202969
Fear of pregnancy,1,-0.001623320366464509,0.00602992127994781
Relationship between father and newborn,3,-0.0016326774628743102,0.004483193713528054
Diseases during pregnancy,2,-0.0018080829407200127,0.005561302307746733
Age of newborn,3,-0.0019833759596044275,0.006161645818259764
Husband's monthly income,5,-0.00202842169551497,0.004604051329925187
Relax/sleep when newborn is tended,1,-0.002077702166094686,0.003173742482567537
Residence,1,-0.0024216185427505922,0.00395658010040493
Newborn illness,1,-0.0027679022370997062,0.004031839233254923
Monthly income before latest pregnancy,5,-0.0031118186137556124,0.0046219984998812575
Total children,2,-0.003116553249142029,0.0034454792555223736
Number of the latest pregnancy,1,-0.003460370733725093,0.004103546226307335
Gender of newborn,1,-0.004155404332189372,0.0033928734296048827
Trust and share feelings,2,-0.00418247869849675,0.006996295209979173
Worry about newborn,1,-0.0058748873233960604,0.005478211321722446
Current monthly income,5,-0.005886822803934944,0.002472960219165608
Family type,1,-0.006911469980823037,0.005346279340022701
Neonatal_Delivery_Stress_Index_Weighted,1,-0.007890168772429573,0.00868550047311541
Occupation before latest pregnancy,6,-0.007897434824995442,0.006176661637895472
Mode of delivery,1,-0.007950321063870381,0.004509795879757171
Age,1,-0.009070446664867376,0.004895724584393269
