model,cv_accuracy_mean,cv_f1_macro_mean,holdout_accuracy,holdout_f1_macro,holdout_roc_auc,holdout_epochs_used
Random Forest (tuned),0.62,0.5895652623415011,0.55,0.5019637896350225,0.7490611041713984,
"Random Forest (baseline, untuned)",0.61625,0.5827744876874489,0.575,0.5201256645356024,0.7484886724960255,
Stacking Ensemble (hybrid),0.6025,0.5771355457004839,0.575,0.5410577766637422,0.7604056262144498,
CatBoost (tuned),0.6174999999999999,0.5597797868908746,0.60625,0.539830370581296,0.7632714279405456,
LightGBM (tuned),0.5974999999999999,0.5512498658095617,0.5625,0.5058213970965649,0.7417963288919173,100.0
"XGBoost (baseline, untuned)",0.5887499999999999,0.5467502013744072,0.5375,0.4822222222222221,0.7309408831100008,
"Logistic Regression (baseline, untuned)",0.5675,0.5460805571797014,0.49375,0.4708385902056046,0.7160034667019961,
XGBoost (tuned),0.595,0.5429714598345232,0.59375,0.5367521367521367,0.7522734814646579,
"LightGBM (baseline, untuned)",0.58375,0.5390775928599836,0.55625,0.4970751294280706,0.7233549726196785,
"CatBoost (baseline, untuned)",0.59125,0.5371417812806533,0.575,0.5170841283373252,0.7498105773841068,
MLP (Deep Learning),0.5725,0.49937178209008887,0.48125,0.38738326662854966,0.6445511267570092,18.0
