model,cv_accuracy_mean,cv_f1_macro_mean,holdout_accuracy,holdout_f1_macro,holdout_roc_auc,holdout_epochs_used
Random Forest (tuned),0.39,0.3699723924912129,0.34375,0.3166830798409746,0.6998504328872628,
"XGBoost (baseline, untuned)",0.39875,0.3621762364501771,0.3875,0.3590715538114719,0.6732370435732797,
CatBoost (tuned),0.42000000000000004,0.3606454472398524,0.39375,0.3383269242037337,0.7059502179620624,
Stacking Ensemble (hybrid),0.35624999999999996,0.35510648978479287,0.33125,0.33483391693664927,0.7257440696573043,
XGBoost (tuned),0.39875,0.35273448281472347,0.39375,0.3484632595176435,0.6726872750776509,
"Random Forest (baseline, untuned)",0.3662499999999999,0.3500933681673643,0.3875,0.3667760750241918,0.6931169195963126,
LightGBM (tuned),0.3975,0.346408336614245,0.41875,0.3795849154659223,0.6940872795089643,100.0
"Logistic Regression (baseline, untuned)",0.35,0.3458084112156221,0.3625,0.3600567174760724,0.6556037931732167,
"LightGBM (baseline, untuned)",0.38,0.3396863398986021,0.41875,0.3991566138302309,0.677029424593616,
"CatBoost (baseline, untuned)",0.3962499999999999,0.3373619841157671,0.40625,0.3355631633943793,0.70292640465412,
MLP (Deep Learning),0.37875000000000003,0.3131354577495554,0.35,0.30007639692545285,0.6181193114463183,33.0
