model,cv_accuracy_mean,cv_f1_macro_mean,holdout_accuracy,holdout_f1_macro,holdout_roc_auc,holdout_epochs_used
Stacking Ensemble (hybrid),0.765,0.7617591752232868,0.76875,0.7654423709338722,0.8088888888888889,
"LightGBM (baseline, untuned)",0.76375,0.7588072026226522,0.7375,0.7279352226720648,0.8185714285714286,
Random Forest (tuned),0.76,0.7573784134096456,0.7625,0.7570332480818414,0.7928571428571428,
LightGBM (tuned),0.75875,0.7540664030320798,0.73125,0.7193096976867529,0.8128571428571428,200.0
CatBoost (tuned),0.7587499999999999,0.7523809877010155,0.75625,0.7491053837803063,0.8123809523809524,
"CatBoost (baseline, untuned)",0.7549999999999999,0.7491969968322076,0.7625,0.756058417589472,0.816984126984127,
"Random Forest (baseline, untuned)",0.75125,0.7458846695776119,0.74375,0.7362389932049375,0.826111111111111,
XGBoost (tuned),0.74875,0.7423908311987455,0.75625,0.7501501501501502,0.8025396825396826,
MLP (Deep Learning),0.7462500000000001,0.740310763495611,0.7125,0.7047022949767292,0.8042857142857143,19.0
"XGBoost (baseline, untuned)",0.7449999999999999,0.7397297993221892,0.74375,0.7350458419160709,0.8247619047619047,
"Logistic Regression (baseline, untuned)",0.73,0.726739059899993,0.7375,0.7341351479664504,0.8031746031746032,
