target,model,n_folds,mean_diff_f1_macro,paired_ttest_pvalue,wilcoxon_pvalue,significant_at_0.05
EPDS Result,Logistic Regression,25,0.001135485549914108,0.1288614909560184,0.11412832776223863,False
EPDS Result,Random Forest,25,0.007572104963580775,0.17884672686696254,0.2002161741256714,False
EPDS Result,XGBoost,25,0.022028833149777362,0.0008213103976259311,0.0009118914604187012,True
EPDS Result,LightGBM,25,0.012000754330303155,0.08506200533660163,0.09031611680984497,False
EPDS Result,CatBoost,25,0.011136496068340605,0.13455290002574474,0.39571136236190796,False
PHQ9 Result,Logistic Regression,25,0.0012408443741162346,0.43396805426049945,0.22738526970373263,False
PHQ9 Result,Random Forest,25,0.0029846740565654816,0.5593168396034958,0.5964998602867126,False
PHQ9 Result,XGBoost,25,0.010476077148769945,0.21535479180116301,0.33878785371780396,False
PHQ9 Result,LightGBM,25,0.02247713704959026,0.002045042005904307,0.0067255496978759766,True
PHQ9 Result,CatBoost,25,0.012700480228055169,0.07024757417008312,0.10139739513397217,False
PPD_binary,Logistic Regression,25,0.0007714814533517078,0.1737140849832989,0.13801073756865953,False
PPD_binary,Random Forest,25,-0.006483340223389264,0.13597044660942795,0.14847958087921143,False
PPD_binary,XGBoost,25,0.007426221459516222,0.250338161818533,0.2634761333465576,False
PPD_binary,LightGBM,25,0.00457760987514463,0.4669091363921791,0.429067256009819,False
PPD_binary,CatBoost,25,0.005724893332267245,0.07511595229430791,0.10731470584869385,False
