feature_1,feature_2,mean_abs_interaction
Maternal_MentalHealth_Risk_Index_Weighted,Social_Support_Index_Weighted,0.013465220668128866
Social_Support_Index_Weighted,Abuse_Yes,0.010744010014634629
Angry after latest child birth_Yes,Maternal_MentalHealth_Risk_Index_Weighted,0.010087757814419725
Angry after latest child birth_Yes,Social_Support_Index_Weighted,0.01008542661761959
Maternal_MentalHealth_Risk_Index_Weighted,Economic_Stability_Index_Weighted,0.00963979537967486
Maternal_MentalHealth_Risk_Index_Weighted,Abuse_Yes,0.009559696972356918
Social_Support_Index_Weighted,Economic_Stability_Index_Weighted,0.008736192929256354
Social_Support_Index_Weighted,Neonatal_Delivery_Stress_Index_Weighted,0.007912102273424773
Feeling for regular activities_Not Reported,Need for Support_Not Reported,0.0076325023613968675
Angry after latest child birth_Yes,Economic_Stability_Index_Weighted,0.007623029902744288
Maternal_MentalHealth_Risk_Index_Weighted,Feeling for regular activities_Not Reported,0.0074741282010443045
Feeling for regular activities_Not Reported,Neonatal_Delivery_Stress_Index_Weighted,0.007375014387375834
Maternal_MentalHealth_Risk_Index_Weighted,Neonatal_Delivery_Stress_Index_Weighted,0.007214600156243628
Abuse_Yes,Feeling for regular activities_Not Reported,0.006910684682583888
Angry after latest child birth_Yes,Trust and share feelings_Yes,0.006869506132627938
Social_Support_Index_Weighted,Feeling for regular activities_Not Reported,0.006863092304354518
Economic_Stability_Index_Weighted,Neonatal_Delivery_Stress_Index_Weighted,0.00642264958468395
Maternal_MentalHealth_Risk_Index_Weighted,Major changes or losses during pregnancy_Yes,0.006386945240968703
Social_Support_Index_Weighted,Major changes or losses during pregnancy_Yes,0.0062992891661155775
Angry after latest child birth_Yes,Abuse_Yes,0.006122941678523683
Angry after latest child birth_Yes,Neonatal_Delivery_Stress_Index_Weighted,0.006088165292467281
Economic_Stability_Index_Weighted,Major changes or losses during pregnancy_Yes,0.005978209538359461
Maternal_MentalHealth_Risk_Index_Weighted,Family type_Nuclear,0.0058941690617729855
Angry after latest child birth_Yes,Need for Support_Not Reported,0.005860220462469894
Angry after latest child birth_Yes,Relationship with the in-laws_Good,0.005533369382357313
Maternal_MentalHealth_Risk_Index_Weighted,Diseases during pregnancy_No Disease,0.005472945415798908
Angry after latest child birth_Yes,Diseases during pregnancy_No Disease,0.0051903048371341
Maternal_MentalHealth_Risk_Index_Weighted,Relationship with husband_Good,0.005100505449563865
Neonatal_Delivery_Stress_Index_Weighted,Relax/sleep when the newborn is asleep_Yes,0.005056404913195856
