feature_1,feature_2,mean_abs_interaction
Social_Support_Index_Weighted,Angry after latest child birth_Yes,0.011368725787209584
Social_Support_Index_Weighted,Maternal_MentalHealth_Risk_Index_Weighted,0.010862285834388273
Social_Support_Index_Weighted,Neonatal_Delivery_Stress_Index_Weighted,0.009185901831857402
Abuse_Yes,Feeling for regular activities_Not Reported,0.008734722959580074
Angry after latest child birth_Yes,Maternal_MentalHealth_Risk_Index_Weighted,0.008489975596254643
Maternal_MentalHealth_Risk_Index_Weighted,Feeling for regular activities_Not Reported,0.007491354759510714
Social_Support_Index_Weighted,Abuse_Yes,0.007198812272262334
Social_Support_Index_Weighted,Economic_Stability_Index_Weighted,0.006859713660826773
Social_Support_Index_Weighted,Age of immediate older children_Not Applicable (Only One Child),0.006020670350056813
Maternal_MentalHealth_Risk_Index_Weighted,Abuse_Yes,0.005709225685239856
Social_Support_Index_Weighted,Relationship with the in-laws_Neutral,0.005592126192867008
Maternal_MentalHealth_Risk_Index_Weighted,Economic_Stability_Index_Weighted,0.005295348744946874
Maternal_MentalHealth_Risk_Index_Weighted,Neonatal_Delivery_Stress_Index_Weighted,0.005169977491669101
Angry after latest child birth_Yes,Abuse_Yes,0.005017224247678369
Major changes or losses during pregnancy_Yes,Age,0.004945448172281772
Social_Support_Index_Weighted,Relationship with the in-laws_Good,0.004818636308786231
Social_Support_Index_Weighted,Age,0.004710503333520498
Abuse_Yes,Relationship with the in-laws_Neutral,0.0046822886308172385
Maternal_MentalHealth_Risk_Index_Weighted,Major changes or losses during pregnancy_Yes,0.004666479684709348
Angry after latest child birth_Yes,Relationship with the in-laws_Good,0.004554854179341185
Maternal_MentalHealth_Risk_Index_Weighted,Age,0.004245094485188746
Maternal_MentalHealth_Risk_Index_Weighted,Relax/sleep when the newborn is asleep_Yes,0.0041691972599040405
Neonatal_Delivery_Stress_Index_Weighted,Depression during pregnancy (PHQ2)_Positive,0.004110971682607397
Social_Support_Index_Weighted,Relax/sleep when the newborn is asleep_Yes,0.004095520516301246
Economic_Stability_Index_Weighted,Age,0.004043359448081471
Relationship with the in-laws_Good,Economic_Stability_Index_Weighted,0.004025690206560127
Neonatal_Delivery_Stress_Index_Weighted,Trust and share feelings_Yes,0.003940534880459591
Angry after latest child birth_Yes,Economic_Stability_Index_Weighted,0.003928847409130774
Abuse_Yes,Age of immediate older children_Not Applicable (Only One Child),0.003922207216038199
Angry after latest child birth_Yes,Age of immediate older children_Not Applicable (Only One Child),0.0038321712703037547
Angry after latest child birth_Yes,Age,0.0037893623922939613
Social_Support_Index_Weighted,Major changes or losses during pregnancy_Yes,0.0037720727827034797
Angry after latest child birth_Yes,Neonatal_Delivery_Stress_Index_Weighted,0.003728918693145349
Relax/sleep when the newborn is asleep_Yes,Economic_Stability_Index_Weighted,0.0037245844188675465
Major changes or losses during pregnancy_Yes,Neonatal_Delivery_Stress_Index_Weighted,0.003623268416973709
Major changes or losses during pregnancy_Yes,Economic_Stability_Index_Weighted,0.0036062644447547912
Social_Support_Index_Weighted,Feeling for regular activities_Not Reported,0.003575337628548807
Maternal_MentalHealth_Risk_Index_Weighted,Birth complications_Yes,0.003574791162514488
Maternal_MentalHealth_Risk_Index_Weighted,Depression during pregnancy (PHQ2)_Positive,0.003488235072222579
Angry after latest child birth_Yes,Feeling for regular activities_Not Reported,0.0033888629411530174
Social_Support_Index_Weighted,Trust and share feelings_Yes,0.0033542993490254364
Maternal_MentalHealth_Risk_Index_Weighted,Relationship with the in-laws_Good,0.0032992111798417025
Relationship with the in-laws_Good,Neonatal_Delivery_Stress_Index_Weighted,0.0032852848201983427
Abuse_Yes,Neonatal_Delivery_Stress_Index_Weighted,0.003221100051427596
Angry after latest child birth_Yes,Trust and share feelings_Yes,0.0032200264252099592
Angry after latest child birth_Yes,Relationship with the in-laws_Neutral,0.0032103861159441657
Neonatal_Delivery_Stress_Index_Weighted,Economic_Stability_Index_Weighted,0.0031540021080477126
Relax/sleep when the newborn is asleep_Yes,Birth complications_Yes,0.003139286919464239
Angry after latest child birth_Yes,Relax/sleep when the newborn is asleep_Yes,0.003135907949359589
Abuse_Yes,Economic_Stability_Index_Weighted,0.003094341473903747
Depression during pregnancy (PHQ2)_Positive,Age,0.00299332132814643
Relationship with the in-laws_Good,Relax/sleep when the newborn is asleep_Yes,0.0029816872361451787
Relax/sleep when the newborn is asleep_Yes,Relationship with the in-laws_Neutral,0.002971955338242821
Relax/sleep when the newborn is asleep_Yes,Trust and share feelings_Yes,0.0029658519059751207
Feeling for regular activities_Not Reported,Need for Support_Not Reported,0.002944714062581862
Maternal_MentalHealth_Risk_Index_Weighted,Feeling for regular activities_Worried,0.002940366650048097
Relax/sleep when the newborn is asleep_Yes,Neonatal_Delivery_Stress_Index_Weighted,0.002884636962911182
